,arabic,roman
6622,زبيبة,zabeebat
6623,زبي,zabi
6624,ظبية,zabia
6625,زبير,zabira
6626,ظبيه,zabiyah
6627,ظبيه,zabiyyah
6628,زبر,zabreen
6629,ظبية,zabya
6630,زيمه,zaeemah
6631,زفة,zafaa
6632,ظفار,zafar
6633,ظفيرة,zafeera
6634,ظفيرة,zafeerah
6635,ظفيرة,zafira
6636,زفره,zafirah
6637,زافي,zafiya
6638,زفرات,zafrat
6639,ظافر,zafreen
6640,زفواة,zafwat
6641,زغاليل,zaghalil
6642,زغيفاة,zagheefat
6643,زغيغاة,zagheeghat
6644,زغلول,zaghlula
6645,زغرب,zaghrab
6646,زهاء,zahaa
6647,ذهب,zahab
6648,ذهبية,zahabia
6649,ذهبية,zahabiya
6650,ظهرا,zahara
6651,ذهبية,zahbia
6652,ذحين,zaheen
6653,ذحين,zaheena
6654,زهير,zaheera
6655,زهراء,zaheeraa
6656,زهيرة,zaheerah
6657,زاهية,zahia
6658,ذحين,zahian
6659,زهيدة,zahida
6660,زهيدبنه,zahida bano
6661,زهيدصلتن,zahida sultana
6662,زهيده,zahidah
6663,ظاهر,zahir
6664,زهيرة,zahira
6665,زهره,zahirah
6666,زهو,zahou
6667,زهرة,zahra
6668,زهراء,zahraa
6669,زهره,zahrah
6670,زهريه,zahriyyah
6671,زهوه,zahwah
6672,زاهيا,zahyaa
6673,ذيب,zaib
6674,زيبا,zaiba
6675,زاءدة,zaida
6676,زغم,zaigham
6677,زغما,zaighama
6678,زيما,zaima
6679,زين,zain
6680,زينة,zaina
6681,زينب,zainab
6682,ذنبه,zainabah
6683,زينب,zainba
6684,زاءرا,zaira
6685,زاءره,zairah
6686,زيتون,zaiton
6687,زيتون,zaitoon
6688,زيتونة,zaitoona
6689,زيتون,zaitun
6690,زيتونة,zaituna
6691,ذكاء,zakaa
6692,زكاة,zakat
6693,زقوت,zakawat
6694,ذخيرة,zakhira
6695,زكية,zakia
6696,زكيه,zakiah
6697,ذاكرة,zakira
6698,ذكره,zakirah
6699,زكية,zakiya
6700,زاكيا,zakiyaa
6701,زكيه,zakiyah
6702,زكية,zakiyya
6703,زكيه,zakiyyah
6704,زالا,zala
6705,زيلندا,zalanda
6706,زلفى,zalfa
6707,زعلج,zaluj
6708,ذمار,zamaair
6709,زمانه,zamaneh
6710,زمدا,zamda
6711,زميلة,zameela
6712,زميله,zameelah
6713,زمين,zameena
6714,زميلة,zamila
6715,زمينه,zaminah
6716,زمرة,zamira
6717,زمرد,zamrud
6718,زمرد,zamurd
6719,زنبق,zanbaqi
6720,زان,zane
6721,زنرا,zanera
6722,زانيه,zaniah
6723,زنوبيا,zanubiya
6724,ذنورة,zanurah
6725,زانيه,zanyah
6726,زقوت,zaqawat
6727,زارا,zara
6728,زارب,zarab
6729,زرافات,zarafat
6730,زرافشا,zarafshan
6731,زري,zaray
6732,ذربه,zarbaha
6733,ظريفة,zareefa
6734,زرين,zareen
6735,زارنا,zareena
6736,زرناه,zareenah
6737,زارءرا,zareera
6738,زريش,zareesh
6739,ذرفت,zarfaat
6740,زرغما,zarghama
6741,زرغنا,zarghuna
6742,زرجناء,zargonaa
6743,زرج,zargoon
6744,زرجنا,zargoona
6745,زرجل,zargul
6746,ذرية,zaria
6747,ظريفة,zarifa
6748,ظريفه,zarifah
6749,زرين,zarin
6750,زرعنا,zarina
6751,ذرية,zariya
6752,ذريه,zariyah
6753,زرقا,zarka
6754,زرما,zarma
6755,زرمنا,zarmina
6756,زارناب,zarnab
6757,زرلا,zarola
6758,زرقا,zarqa
6759,زرقابنه,zarqa bano
6760,زرقهببة,zarqa habiba
6761,زرقاسلتن,zarqa sultana
6762,زرقاء,zarqaa
6763,زارا,zarra
6764,زاره,zarrah
6765,زارتج,zartaj
6766,زرياب,zaryab
6767,زرين,zaryan
6768,زافيشا,zaufishan
6769,زوال,zawal
6770,زوالا,zawala
6771,زويلة,zaweela
6772,زاوية,zawiya
6773,زيان,zayaan
6774,زينة,zayana
6775,زينا,zayanaa
6776,ذيب,zayb
6777,زيبا,zayba
6778,زايد,zayda
6779,زيره,zayirah
6780,زينا,zayna
6781,زينب,zaynab
6782,زينه,zaynah
6783,زيتون,zaytoon
6784,زيتونه,zaytoonah
6785,زين,zayyan
6786,زبى,zeba
6787,زينة,zeeana
6788,ذيب,zeeb
6789,زينة,zeena
6790,زينات,zeenaat
6791,زينه,zeenah
6792,زينة,zeenat
6793,زيي,zeeya
6794,زهق,zehak
6795,ذهبى,zehba
6796,ذهن,zehn
6797,ذهنى,zehna
6798,زهرة,zehra
6799,زيفا,zeifa
6800,زينب,zeinab
6801,زنية,zenia
6802,زردة,zerada
6803,ذره,zerah
6804,زرعنا,zerina
6805,زرلندا,zerlinda
6806,زوار,zewar
6807,زينب,zeynep
6808,زهيهرة,zhaahirah
6809,زحفيرة,zhafeerah
6810,زهيهرة,zhaheerah
6811,زحلة,zhala
6812,زحل,zhalai
6813,زحل,zhalay
6814,زحله,zhaleh
6815,زحزما,zhasman
6816,زحزمن,zhasmin
6817,زحلة,zheela
6818,ذحين,zheena
6819,ذحين,zheeno
6820,زيارة,ziara
6821,زلقمر,ziaul qamar
6822,زيبا,ziba
6823,زيبا,zibaa
6824,ذيبانده,zibandeh
6825,زبر,zibaru
6826,زبطلاة,zibatalaat
6827,زبريقا,zibriqan
6828,زفاف,zifaf
6829,زهق,zihaka
6830,ذهني,zihni
6831,ذهنية,zihniyyah
6832,ذكر,zikr
6833,ذكرى,zikra
6834,ذكريات,zikrayat
6835,ظلال,zilal
6836,ظلاله,zilallah
6837,ذليله,zilelahi
6838,ذيل,zill
6839,ذيلا,zilla
6840,ذيليزدا,zilyazdan
6841,زمال,zimal
6842,زينات,zinaat
6843,زينه,zinah
6844,زينة,zinat
6845,زينب,zineb
6846,زينتا,zineta
6847,زينة,zinia
6848,زينيرة,zinneerah
6849,زيرم,ziram
6850,زيرو,zirwa
6851,زعفانكا,zivanka
6852,ظفار,zivar
6853,زيادة,ziyada
6854,زين,ziyan
6855,ظبية,zobia
6856,زيا,zoeya
6857,زها,zoha
6858,زحل,zohal
6859,ظهرن,zoharin
6860,زها,zohha
6861,ذهنية,zohniyya
6862,ظهرا,zohra
6863,زهرة,zohura
6864,زنرا,zonera
6865,زنيرا,zonira
6866,زون,zoona
6867,زوره,zorah
6868,زردة,zoraida
6869,زرز,zoraiz
6870,زرد,zoreed
6871,زرزا,zoreza
6872,زفيشا,zoufishan
6873,زيا,zoya
6874,زرين,zryan
6875,ذباح,zubaah
6876,زبيدة,zubaida
6877,زبيده,zubaidah
6878,زبير,zubairaa
6879,زوبري,zubaria
6880,زبش,zubash
6881,زبيدة,zubayda
6882,زبيده,zubaydah
6883,زبده,zubdah
6884,زبي,zubi
6885,زودرا,zudora
6886,زفاش,zufash
6887,زهاء,zuhaa
6888,ذهابه,zuhaibah
6889,زهير,zuhaira
6890,زهراء,zuhairaa
6891,زهره,zuharah
6892,زهير,zuhayra
6893,زهيه,zuhayyah
6894,زهدية,zuhdiyyah
6895,زهرة,zuhera
6896,ذهنية,zuhniyyah
6897,زهور,zuhoor
6898,زهر,zuhr
6899,زهرة,zuhra
6900,زهره,zuhrah
6901,زهريه,zuhriyyah
6902,زهور,zuhur
6903,زخرف,zukhruf
6904,زليخة,zulaikha
6905,زليخه,zulaikhah
6906,لاريب,zulaykha
6907,زوليك,zuleika
6908,زليخة,zuleikha
6909,زليخة,zulekha
6910,زوليك,zuleyka
6911,زلفى,zulfa
6912,زلفى,zulfaa
6913,زلفه,zulfah
6914,زولهجة,zulhijjah
6915,زولا,zulla
6916,ظلتا,zultan
6917,زعلتني,zultana
6918,ذمار,zumar
6919,زمرد,zumard
6920,زمردة,zumarrada
6921,زمرد,zumurrud
6922,زمردة,zumurruda
6923,زمزم,zumzum
6924,زنارة,zunairah
6925,زرافة,zurafa
6926,ظرفاء,zurafaa
6927,زوره,zurah
6928,ظرفه,zurfah
6929,زورمة,zurmah
6930,زويلة,zuwaila
6931,زويلة,zuwailah
6932,زوينه,zuwainah
6933,زويت,zuwaiten
6934,زين,zyan
6935,زينه,zynah
6936,زيفا,zyva
6937,عبد,aabad
6938,ابن,aaban
6939,ابدر,aabdar
6940,عابد,aabid
6941,عابد الله,aabidullah
6942,عابر,aabir
6943,عابس,aabis
6944,ادم,aadam
6945,اذن,aadheen
6946,عادل,aadil
6947,اف,aaf
6948,عافة,aafa
6949,افاق,aafaq
6950,افيق,aafiq
6951,احج,aahga
6952,اهل,aahil
6953,عاءد,aaid
6954,عاءدون,aaidun
6955,عايز,aaiz
6956,اكي,aaki
6957,اقيف,aakif
6958,عاقل,aakil
6959,اعلى,aala
6960,اعلم,aalam
6961,المجير,aalamgir
6962,الي,aalee
6963,الي,aali
6964,الف,aalif
6965,الي,aalii
6966,اليم,aalim
6967,عماد,aamad
6968,امين,aameen
6969,عامر,aamer
6970,امين,aamin
6971,امير,aamir
6972,املا,aamla
6973,انيل,aanil
6974,عقيب,aaqib
6975,اقيف,aaqif
6976,عارف,aaraf
6977,عريب,aarib
6978,اعرف,aarif
6979,ارز,aariz
6980,ارين,aaryan
6981,رزم,aarzam
6982,اس,aas
6983,اسال,aasaal
6984,اصل,aasal
6985,اشف,aashif
6986,اشيك,aashik
6987,عاشق,aashiq
6988,شيقل,aashiq ali
6989,اشيقمهمد,aashiq muhammad
6990,اشير,aashir
6991,اسف,aasif
6992,اسير,aasir
6993,اتي,aati
6994,عطيف,aatif
6995,اطيق,aatik
6996,اطيق,aatiq
6997,اتش,aatish
6998,اوف,aauf
6999,اس,aaus
7000,اوف,aawf
7001,ايان,aayaan
7002,اين,aayan
7003,عايز,aayiz
7004,ازاد,aazaad
7005,ازاد,aazad
7006,عزام,aazam
7007,عظيم,aazim
7008,اذ,aazz
7009,عباس,abaas
7010,ابابيل,ababil
7011,ابد,abad
7012,ابدية,abadiya
7013,ابحت,abahat
7014,اباه,abahh
7015,ابيض,abaid
7016,ابنوس,abanus
7017,عباسي,abasi
7018,بسين,abasin
7019,ابار,abbaar
7020,عباس,abbaas
7021,عبد,abbad
7022,عباس,abbas
7023,عبود,abbood
7024,عبد,abbud
7025,عابدين,abbudin
7026,عبد,abd
7027,ابدل,abd al
7028,عبداللة,abd al ala
7029,بذخير,abd khayr
7030,ابدا,abda
7031,ابدال,abdaal
7032,عبده,abdah
7033,ابدل,abdal
7034,عبدالله,abdallah
7035,ابدا,abdan
7036,عبدال,abdel
7037,بدوددر,abdud daar
7038,عبده,abduh
7039,عبدال,abdul
7040,بدونناف,abdun naafe
7041,بدونناسر,abdun nasir
7042,بدوننر,abdun noor
7043,عبدر,abdur
7044,عبدوس,abdus
7045,ابدتتوب,abdut tawwab
7046,عبدززهر,abduz zahir
7047,عابدين,abedin
7048,ابيل,abeel
7049,ابهج,abhaj
7050,ابحر,abhar
7051,ابي,abi
7052,ابيضين,abidain
7053,ابيضين,abideen
7054,عابدين,abidin
7055,ابنوس,abinus
7056,عبير,abir
7057,بيصلي,abisali
7058,ابي,abiyyi
7059,ابقار,abkar
7060,ابلغ,ablagh
7061,ابلج,ablaj
7062,ابنوس,abnus
7063,عبود,abood
7064,ابو,abou
7065,ابقار,abqar
7066,ابرار,abraar
7067,ابرد,abrad
7068,ابرهة,abraha
7069,ابرج,abraj
7070,ابرام,abram
7071,ابرق,abraq
7072,ابرار,abrar
7073,ابراش,abrash
7074,ابرز,abraz
7075,ابريق,abreeq
7076,ابصار,absaar
7077,ابصر,absar
7078,ابسط,absat
7079,بشم,absham
7080,عبسي,absi
7081,ابطن,abteen
7082,عبثي,abthi
7083,ابوالخير,abu al khayr
7084,ابيب,abu ayyub
7085,ابوبكر,abu bakr
7086,بدردا,abu darda
7087,ابوداود,abu dawud
7088,ابوحنيفة,abu hanifa
7089,ابوهريرة,abu hurairah
7090,ابوحذيفة,abu huzaifah
7091,ابوعيسى,abu isa
7092,ابوجهافا,abu juhafa
7093,بمحذورة,abu mahzoorah
7094,بمزود,abu masood
7095,ابوموسى,abu moosa
7096,ابوزيد,abu saeed
7097,ابطالها,abu talha
7098,ابوطالب,abu talib
7099,بتراب,abu turab
7100,ابوعبيده,abu ubaidah
7101,ابويوسف,abu yousuf
7102,ابوذر,abu zar
7103,عبودة,abudah
7104,عابدين,abudain
7105,بلالا,abul alaa
7106,ابولبركاة,abul barakat
7107,بلباسهر,abul bashar
7108,بلباسهر,abul bashr
7109,بولفارة,abul farah
7110,بولفاراج,abul faraj
7111,بلفظ,abul fath
7112,بلفظل,abul fazl
7113,بلحسم,abul haisam
7114,بلحسن,abul hasan
7115,بلحسن,abul hassan
7116,بلحسن,abul husain
7117,بولقلام,abul kalam
7118,بلخير,abul khair
7119,بلخير,abul khayr
7120,بعلمهسن,abul mahasin
7121,بلقاسم,abul qasim
7122,بوليمن,abul yumn
7123,ابون,abwan
7124,ابيض,abyad
7125,ابين,abyan
7126,بيز,abyaz
7127,ابزار,abzari
7128,ادان,adaan
7129,ادب,adab
7130,ادلة,adalat
7131,ادان,adan
7132,ادار,adar
7133,اداوي,adawi
7134,دبل,adbul
7135,دبلقو,adbul qawi
7136,عدال,addal
7137,ادار,addar
7138,عدل,addul
7139,اديب,adeeb
7140,ادين,adeen
7141,ادهم,adham
7142,عظيم,adheem
7143,اظن,adheen
7144,عادي,adi
7145,اديب,adib
7146,عادل,adil
7147,ادير,adir
7148,اضيف,adiv
7149,ادعي,adiy
7150,اضل,adl
7151,عدلان,adlan
7152,ادلي,adli
7153,ادلي,adlii
7154,عدنان,adnaan
7155,عدنان,adnan
7156,ادر,adr
7157,ادرسه,adrish
7158,عضوذهر,aduzahir
7159,عضوذهر,aduzzahir
7160,ادوم,adwam
7161,اديان,adyan
7162,اجاز,aejaz
7163,اردوغان,aerdoan
7164,تشم,aetisham
7165,افاق,afaak
7166,فم,afam
7167,افندي,afandi
7168,افضال,afdaal
7169,افضل,afdal
7170,عفيف,afeef
7171,فين,afeen
7172,عفان,affaan
7173,عفان,affan
7174,افهام,afhaam
7175,افهم,afham
7176,عفيف,afif
7177,فيفضدن,afif ud din
7178,افيق,afiq
7179,افكار,afkar
7180,افلح,aflah
7181,افنان,afnan
7182,لتي,afra
7183,افراد,afrad
7184,افراسب,afrasiab
7185,افرز,afraz
7186,فريدي,afridi
7187,افرز,afroze
7188,افرز,afruz
7189,افصى,afsa
7190,افصح,afsah
7191,فصان,afsan
7192,فسنه,afsaneh
7193,افسر,afsar
7194,افسرددن,afsar ud din
7195,افسردن,afsaruddin
7196,افسردن,afseruddin
7197,فشن,afshan
7198,افشار,afshar
7199,فشن,afshin
7200,افتاب,aftab
7201,فتبددن,aftab ud din
7202,افطر,aftar
7203,عفو,afuww
7204,افز,afza
7205,فزال,afzaal
7206,افظل,afzal
7207,اجا,aga
7208,اغا,agha
7209,اغاريد,agharid
7210,لتي,agharr
7211,اغلى,aghla
7212,اغلب,aghlab
7213,اغصان,aghsan
7214,اجرين,agreen
7215,عجرم,agrim
7216,احب,ahab
7217,احد,ahad
7218,احباب,ahbab
7219,احد,ahd
7220,اهداف,ahdaf
7221,هداوي,ahdawi
7222,اهدي,ahdee
7223,حبن,ahibun
7224,احد,ahid
7225,اهين,ahin
7226,احكام,ahkam
7227,احلام,ahlam
7228,احمد,ahmad
7229,حمدلله,ahmadullah
7230,احمر,ahmar
7231,احمد,ahmed
7232,احمر,ahmer
7233,احنف,ahnaf
7234,اهرام,ahram
7235,احرز,ahraz
7236,احسب,ahsab
7237,احسن,ahsan
7238,احسنلله,ahsanullah
7239,احسن,ahsun
7240,احتشام,ahtesham
7241,احفظ,ahvaz
7242,احوس,ahwas
7243,احواز,ahwaz
7244,اهيم,ahyam
7245,احيان,ahyan
7246,حيث,ahyas
7247,احزاب,ahzab
7248,ايبك,aibak
7249,عيد,aid
7250,ايضا,aidan
7251,ايده,aidh
7252,اغار,aighar
7253,اعجز,aijaz
7254,اعمال,aimal
7255,ايمن,aiman
7256,ايمن,aimen
7257,عين,ain
7258,ايش,aish
7259,عيسى,aissa
7260,عيسي,aisy
7261,عايز,aiyaz
7262,عايز,aiz
7263,ازاد,aizaad
7264,عايزة,aizat
7265,عجام,ajaam
7266,اجار,ajaar
7267,اجاب,ajab
7268,اجم,ajam
7269,اجاويد,ajaweed
7270,اجاويد,ajawid
7271,اجيب,ajeeb
7272,اجل,ajeel
7273,اجر,ajer
7274,اجياد,ajiad
7275,اجيب,ajib
7276,عجاج,ajjaj
7277,اجله,ajlah
7278,اجمل,ajmal
7279,جمر,ajmar
7280,اجمل,ajmel
7281,اجمع,ajmi
7282,اجرد,ajrada
7283,جتب,ajtaba
7284,اجواد,ajwaad
7285,اجود,ajwad
7286,اجود,ajwed
7287,اكبر,akbar
7288,اكبر,akber
7289,اقدس,akdas
7290,عقيق,akeek
7291,اقيم,akeem
7292,عقيق,akeeq
7293,اكفه,akfah
7294,قفاش,akfash
7295,اكحل,akhal
7296,اخص,akhas
7297,اخدان,akhdan
7298,خفاش,akhfash
7299,اخيل,akhil
7300,اخلاق,akhlaak
7301,اخلاق,akhlaaq
7302,اخلاص,akhlaas
7303,اخلاق,akhlak
7304,اخلاق,akhlaq
7305,اخلص,akhlas
7306,اخمد,akhmad
7307,اخماس,akhmas
7308,خرم,akhram
7309,اخطب,akhtab
7310,اخطف,akhtaf
7311,اخطر,akhtar
7312,اخترزمر,akhtar zamir
7313,اختر,akhter
7314,خوند,akhund
7315,خندزدا,akhundzada
7316,اخيار,akhyar
7317,اخزم,akhzam
7318,خزر,akhzar
7319,خزر,akhzer
7320,اقع,aki
7321,عقيب,akib
7322,اكيدة,akida
7323,كيف,akif
7324,عقيلي,akili
7325,اقيم,akim
7326,اكن,akin
7327,اقلامش,aklamash
7328,اكمل,akmal
7329,اكمل,akmel
7330,كنا,aknan
7331,اكرم,akram
7332,عكرمة,akrama
7333,اكون,akwan
7334,اكياس,akyas
7335,العباس,al abbas
7336,الامين,al amin
7337,البرهان,al burhan
7338,الفاءز,al faiz
7339,لتي,al hasan
7340,المامون,al mamoon
7341,الرفع,al rafi
7342,الصافي,al safi
7343,الصديق,al siddiq
7344,الطاهر,al tahir
7345,الطيب,al tayyib
7346,اللذين,ala al din
7347,العددين,ala ud din
7348,اللذين,alaaldin
7349,الدين,alaaudeen
7350,الدين,aladdin
7351,الاليم,alaleem
7352,الم,alam
7353,علامة,alamat
7354,الملحدة,alamulhuda
7355,المذيب,alamzeb
7356,الان,alan
7357,علاقات,alaqat
7358,الدين,alauddin
7359,الدين,alaudeen
7360,علاوي,alawi
7361,البارى,albara
7362,البرز,alborz
7363,الي,alee
7364,اليف,aleef
7365,اليم,aleem
7366,الملحدة,aleem ul huda
7367,العمودين,aleemuddin
7368,الفاظ,alfaz
7369,الحكم,alhakam
7370,الحان,alhan
7371,الحارث,alharith
7372,الحسن,alhasan
7373,الحذر,alhazar
7374,الحسين,alhusain
7375,الحسين,alhusayn
7376,علي,ali
7377,البابا,alibaba
7378,الف,alif
7379,اله,alih
7380,علم,alim
7381,الان,alin
7382,الاي,aliyy
7383,الام,allaam
7384,اللهبخش,allah bakhsh
7385,علال,allal
7386,علام,allam
7387,علامة,allama
7388,المه,allamah
7389,الماس,almaas
7390,المهدي,almahdi
7391,المان,alman
7392,الماس,almas
7393,المير,almir
7394,البارسلا,alparslan
7395,الصافي,alsafi
7396,الطاف,altaaf
7397,التام,altaam
7398,الطاف,altaf
7399,التفحصن,altaf hussain
7400,الطير,altair
7401,التمسح,altamash
7402,الطيب,altayyib
7403,التحف,althaf
7404,التيجاني,altijani
7405,التفعيل,altufail
7406,التفعيل,altufayl
7407,الف,aluf
7408,الفند,alvand
7409,الفي,alvi
7410,الوان,alwan
7411,الوز,alwaz
7412,عليان,alyaan
7413,الين,alyan
7414,اليسا,alyasaa
7415,عماد,amaad
7416,امان,amaan
7417,امانلله,amaanullah
7418,عمار,amaar
7419,عماد,amad
7420,اميل,amail
7421,امام,amam
7422,امان,aman
7423,امانة,amanat
7424,منددين,amanuddin
7425,امانلله,amanullah
7426,امر,amar
7427,عمارة,amara
7428,امير,amayr
7429,امداد,amdad
7430,عميد,ameed
7431,امين,ameen
7432,امير,ameer
7433,امر,amer
7434,مريول,amerulla
7435,اميال,amial
7436,عميد,amid
7437,معدودولة,amiduddawlah
7438,عامل,amil
7439,لتي,amima
7440,امين,amin
7441,امين,amine
7442,منددين,aminuddin
7443,امير,amir
7444,اميري,amiri
7445,معرضين,amiruddin
7446,امجاد,amjaad
7447,امجاد,amjad
7448,املس,amlas
7449,عمار,ammaar
7450,امام,ammam
7451,عمان,amman
7452,عمار,ammar
7453,امني,ammuni
7454,امنا,amnan
7455,موز,amooz
7456,عمر,amr
7457,لتي,amrah
7458,امري,amri
7459,عمرو,amro
7460,امرلله,amrullah
7461,امثال,amsal
7462,اميلي,amyali
7463,اناهيد,anahid
7464,انام,anam
7465,انا,anan
7466,اناقة,anaqat
7467,انار,anar
7468,انس,anas
7469,انصت,anasat
7470,انسي,anasi
7471,انس,anass
7472,اني,anaya
7473,نبص,anbas
7474,عندليب,andaleeb
7475,عندليب,andalib
7476,اندلس,andalus
7477,اندلسي,andalusi
7478,انضم,andam
7479,عندليب,andlib
7480,انين,aneen
7481,انيق,aneeq
7482,انيس,anees
7483,انيسه,aneesh
7484,انفا,anfa
7485,انفعني,anfani
7486,انفاس,anfas
7487,عنجر,angar
7488,انهار,anhar
7489,عنيف,anif
7490,انيق,aniq
7491,انيس,anis
7492,انيس,anise
7493,انجب,anjab
7494,انجم,anjam
7495,انجود,anjud
7496,انجود,anjudi
7497,انجم,anjum
7498,انمار,anmar
7499,انوار,anouar
7500,انوش,anoush
7501,نشرفا,anoushiravan
7502,انس,ans
7503,انصار,ansaar
7504,انسب,ansab
7505,انصح,ansah
7506,انسام,ansam
7507,انصار,ansar
7508,انصاري,ansari
7509,انشر,anshar
7510,عنتر,antar
7511,عنتره,antarah
7512,انتوني,antony
7513,انعم,anum
7514,انملة,anumullah
7515,انوش,anush
7516,انشاه,anushah
7517,انصحه,anusheh
7518,انوار,anwaar
7519,نوردن,anwaaraddin
7520,انوار,anwar
7521,انوار,anwari
7522,نورلكرم,anwarul karim
7523,نورسسداة,anwarus sadat
7524,انور,anwer
7525,انظر,anzar
7526,اقدس,aqdas
7527,عقيب,aqeeb
7528,عقيد,aqeed
7529,عقيق,aqeek
7530,عقيق,aqeeq
7531,عقيب,aqib
7532,اقف,aqif
7533,عقيق,aqiq
7534,اقل,aql
7535,عقلان,aqlan
7536,اقليم,aqleem
7537,اقمار,aqmar
7538,عقاد,aqqaad
7539,عقد,aqqad
7540,اقرب,aqrab
7541,اقصاء,aqsaa
7542,اقصد,aqsad
7543,اقوى,aqwa
7544,عرابي,araabi
7545,عرب,arab
7546,اراد,arad
7547,عرفه,arafah
7548,عرفات,arafat
7549,ارز,araiz
7550,ارج,araj
7551,ارام,aram
7552,ارن,aran
7553,عرندس,arandas
7554,رانج,arang
7555,عرار,arar
7556,عرس,aras
7557,عرش,arash
7558,ارسطو,arastoo
7559,اركس,arax
7560,عريش,araysh
7561,ارز,araz
7562,ارباب,arbaab
7563,ارباز,arbaaz
7564,ارباب,arbab
7565,اربد,arbad
7566,عربان,arban
7567,اربز,arbaz
7568,اردلان,ardalan
7569,ردم,ardam
7570,عرضس,ardas
7571,ردفان,ardavan
7572,اردشير,ardeshir
7573,ارضين,ardin
7574,اريب,areeb
7575,عريف,areef
7576,اريج,areej
7577,عرين,areen
7578,عريق,areeq
7579,عريس,arees
7580,عريش,areesh
7581,ارز,areez
7582,عرف,aref
7583,عرف,arf
7584,عرفة,arfa
7585,عرفاء,arfaa
7586,عرفان,arfaan
7587,عرفان,arfan
7588,عارفين,arfeen
7589,ارحب,arhab
7590,ارحم,arham
7591,عريب,arib
7592,عارف,arif
7593,عارفين,arifin
7594,عريق,ariiq
7595,اريج,arij
7596,اريكة,arikah
7597,عريش,arish
7598,ارز,ariz
7599,رجسب,arjasb
7600,ارجمند,arjmand
7601,ارجومند,arjomand
7602,اركان,arkaan
7603,اركان,arkan
7604,ارخن,arkhun
7605,عرمان,armaan
7606,ارمغا,armaghan
7607,ارمن,arman
7608,ارمن,armeen
7609,عرف,aroof
7610,عروسه,aroosh
7611,ارقام,arqam
7612,ارسل,arsal
7613,ارسلان,arsalaan
7614,ارسلان,arsalan
7615,ارسم,arsam
7616,عرسان,arsan
7617,ارسل,arsel
7618,عرش,arsh
7619,ارشد,arshad
7620,عرشك,arshak
7621,عرسهم,arsham
7622,عرسهم,arshama
7623,عرسها,arshan
7624,رشق,arshaq
7625,ارشافير,arshavir
7626,عرشي,arshi
7627,عرسها,arshia
7628,ارسين,arsin
7629,ارسلان,arslaan
7630,ارسلان,arslan
7631,ارت,arta
7632,رطبا,artaban
7633,ارتبز,artabaz
7634,ارتاح,artah
7635,رتن,artan
7636,رطبا,arteban
7637,رطبا,artepan
7638,ارتعشتر,arteshtar
7639,ارتين,artin
7640,عرفند,arvand
7641,عارفين,arveen
7642,لتي,arwa
7643,روره,arwarh
7644,عارية,arya
7645,ريبد,aryabod
7646,عريمان,aryaman
7647,عرين,aryan
7648,عريانه,aryano
7649,اري,aryou
7650,ارز,arz
7651,رزان,arzaan
7652,رزان,arzan
7653,رزانج,arzang
7654,رزهنج,arzhang
7655,اسا,asa
7656,اساد,asaad
7657,اسد,asad
7658,اسدل,asadel
7659,اصدلله,asadullah
7660,اصح,asah
7661,اسن,asan
7662,اثر,asar
7663,اسارير,asareer
7664,اسباط,asbaat
7665,اصباغ,asbagh
7666,اصبح,asbah
7667,اثبت,asbat
7668,اسيد,aseed
7669,اسيل,aseel
7670,اصير,aseer
7671,اسفة,asfa
7672,اصفق,asfaq
7673,اصفر,asfar
7674,عصفور,asfour
7675,اصغر,asgar
7676,اصغر,asger
7677,اصغر,asghar
7678,اصغر,asgher
7679,عشا,asha
7680,اصحاب,ashaab
7681,اشار,ashaar
7682,شاص,ashaas
7683,شاذ,ashaath
7684,اصحاب,ashab
7685,اشعث,ashaes
7686,شج,ashaj
7687,اسهل,ashal
7688,اشار,ashar
7689,شاذ,ashaz
7690,اشبال,ashbal
7691,عشب,asheb
7692,عشيق,asheeq
7693,عشر,asher
7694,اشفاق,ashfaaq
7695,اشفق,ashfaq
7696,اصحاب,ashhab
7697,اسهل,ashhal
7698,اسهم,ashham
7699,اشهر,ashhar
7700,اشهب,ashhub
7701,اشيك,ashik
7702,اشيل,ashil
7703,عشيق,ashiq
7704,اشير,ashir
7705,اشجع,ashja
7706,عشقان,ashkan
7707,سحمان,ashmaan
7708,اشمل,ashmal
7709,شماته,ashmath
7710,شند,ashnad
7711,اشور,ashour
7712,اشقر,ashqar
7713,اشرف,ashraf
7714,اشرفصصداة,ashrafus sadat
7715,اشرس,ashras
7716,اشطر,ashtar
7717,اشتي,ashti
7718,اشواق,ashwaq
7719,اسف,asif
7720,اصيل,asil
7721,عاصم,asim
7722,اصير,asir
7723,سردين,asiruddin
7724,اسجد,asjad
7725,عسكر,askar
7726,عسكري,askari
7727,اسكر,asker
7728,اصلا,asla
7729,اسلم,aslam
7730,اصلا,aslan
7731,اسما,asma
7732,اسمار,asmar
7733,اسو,aso
7734,اسودا,asooda
7735,اسر,asr
7736,اسرى,asra
7737,اسرار,asrar
7738,اصاب,assab
7739,استان,astaan
7740,استان,astan
7741,اصوب,aswab
7742,اسود,aswad
7743,اسياف,asyaf
7744,اثيم,asyam
7745,سيحب,asyhab
7746,سيقر,asyqar
7747,سيرف,asyraf
7748,اسير,asyur
7749,اتى,ata
7750,اطلرهما,ata al rahman
7751,عطاالله,ata allah
7752,اطاطا,ata ataa
7753,عطاء,ataa
7754,اطباق,atabak
7755,اطبق,atabuk
